arm,index,model,prompt_tokens,frontend_wait_s,local_scheduler_wait_s,prefill_wait_s,actual_prefill_service_s,decode_start_wait_s,ttft_s,tpot_s,e2e_s
D0,17,model_6,17,0.0006802082061767578,0.007841825485229492,0.018762826919555664,0.03918910026550293,0.028072118759155273,0.06647396087646484,0.049767971955812895,13.006146669387817
D0,18,model_5,68,0.0008409023284912109,0.00025653839111328125,0.003976106643676758,0.048718929290771484,0.029334545135498047,0.053792476654052734,0.08245724678039551,18.606673002243042
D0,19,model_4,18,0.0011830329895019531,0.0011250972747802734,0.019017934799194336,0.04809212684631348,0.028551101684570312,0.06941819190979004,0.039654863291773305,1.2194092273712158
D0,20,model_5,175,0.0008745193481445312,0.0010497570037841797,0.029191017150878906,0.04433083534240723,0.026966333389282227,0.07544612884521484,0.06309162293161664,3.608577013015747
D0,21,model_5,16,0.0005977153778076172,0.0019178390502929688,0.05370473861694336,0.02620410919189453,0.0774526596069336,0.08242440223693848,0.07738556526601315,29.798481464385986
D0,22,model_5,56,0.0006148815155029297,0.010602712631225586,0.3331921100616455,0.02891826629638672,0.11699175834655762,0.37332797050476074,0.05938510461287065,4.292744874954224
D0,23,model_3,297,0.000804901123046875,0.004525661468505859,0.1573810577392578,0.07712388038635254,0.022303342819213867,0.23983550071716309,0.040245913495921125,4.2241809368133545
D0,24,model_5,474,0.0008747577667236328,0.003976583480834961,0.03510880470275879,0.09293603897094727,0.021216630935668945,0.13289618492126465,0.05576409363165134,2.4192240238189697
D0,25,model_3,24,0.0004584789276123047,0.0032210350036621094,0.003443002700805664,0.032204627990722656,0.03837418556213379,0.039327144622802734,0.05039974610516979,15.864847421646118
D0,26,model_5,442,0.0004992485046386719,0.002129077911376953,0.021841049194335938,0.06601142883300781,0.023432254791259766,0.09048080444335938,0.05521576106548309,0.9739329814910889
D0,27,model_3,83,0.0007727146148681641,0.009314775466918945,0.027133464813232422,0.029467344284057617,0.026505470275878906,0.06668829917907715,0.04162068510877675,9.722687244415283
D0,28,model_4,227,0.000713348388671875,0.005548954010009766,0.022089004516601562,0.02984309196472168,0.10356545448303223,0.05819439888000488,0.0534728467464447,2.6248910427093506
D0,29,model_4,23,0.0006365776062011719,0.00743865966796875,0.0571749210357666,0.033873558044433594,0.03197789192199707,0.09912371635437012,0.04828617783884207,18.641016006469727
D0,30,model_3,17,0.0007803440093994141,0.006865262985229492,0.06171107292175293,0.026143789291381836,0.06794309616088867,0.09550046920776367,0.050194726528458085,19.219691276550293
D0,31,model_5,159,0.00079345703125,0.003248929977416992,0.22678613662719727,0.0328214168548584,0.22197723388671875,0.26364994049072266,0.046006008982658386,0.9997460842132568
D0,32,model_5,21,0.0005006790161132812,0.010187387466430664,0.1838059425354004,0.032871246337890625,0.22193074226379395,0.22736525535583496,0.08320936560630798,19.531938076019287
D0,33,model_3,74,0.0008804798126220703,0.0008380413055419922,0.25521016120910645,0.08132791519165039,0.15263080596923828,0.3382565975189209,0.04997948603843575,17.081384420394897
D0,34,model_3,769,0.0015408992767333984,0.008124828338623047,0.1483767032623291,0.08136248588562012,0.15259838104248047,0.23940491676330566,0.044253215193748474,0.9474563598632812
